Example Gymnasium ID,one demo GIF per environment,Description,Category,Core Challenges,Importance,Status,Owner,Notes,
prbench/ClutteredRetrieval2D-o10-v0,Done,ClutteredRetrieval2D,Geom2D,Combinatorial geometric constraints,Essential,Done,Tom,https://github.com/Princeton-Robot-Planning-and-Learning/prpl-mono/pull/280,
prbench/Motion2D-p5-v0,Done,Motion2D,Geom2D,Spatial constraints,Essential,Done,Tom,https://github.com/Princeton-Robot-Planning-and-Learning/prpl-mono/pull/281,
prbench/Obstruction2D-o4-v0,Done,Obstruction2D,Geom2D,Combinatorial geometric constraints,Essential,Done,Tom,https://github.com/Princeton-Robot-Planning-and-Learning/prpl-mono/pull/282,
prbench/PushPullHook2D-v0,Done,PushPullHook2D,Geom2D,Tool use,Essential,Done,Tom,https://github.com/Princeton-Robot-Planning-and-Learning/prpl-mono/pull/289,
prbench/ClutteredStorage2D-b15-v0,Done,ClutteredStorage2D,Geom2D,Combinatorial geometric constraints,Essential,Done,Tom,https://github.com/Princeton-Robot-Planning-and-Learning/prpl-mono/pull/286,
prbench/StickButton2D-b10-v0,Done,StickButton2D,Geom2D,"Tool use, Time efficiency",Essential,Done,Tom,https://github.com/Princeton-Robot-Planning-and-Learning/prpl-mono/pull/290,
prbench/DynObstruction2D-o3-v0,Done,DynObstruction2D,Dynamic2D,"Combinatorial geometric constraints, Nonprehensile multi-object manipulation, Time efficiency",Essential,Done,Tom,https://github.com/Princeton-Robot-Planning-and-Learning/prpl-mono/pull/292,
prbench/DynPushPullHook2D-o5-v0,Done,DynPushPullHook2D,Dynamic2D,"Nonprehensile multi-object manipulation, Tool use",Essential,Done,Tom,https://github.com/Princeton-Robot-Planning-and-Learning/prpl-mono/pull/293,
prbench/DynPushT-t1-v0,Done,DynPushT2D,Dynamic2D,Spatial constraints,Essential,Done,Tom,https://github.com/Princeton-Robot-Planning-and-Learning/prpl-mono/pull/294,
prbench/DynScoopPour-o50-v0,,DynScoopPour2D,Dynamic2D,"Nonprehensile multi-object manipulation, Time efficiency, Tool use, Dynamic constraints",Essential,Done,Tom,https://github.com/Princeton-Robot-Planning-and-Learning/prpl-mono/pull/295,
prbench/Obstruction3D-o4-v0,Done,Obstruction3D,Geom3D,Combinatorial geometric constraints,Essential,Need Audit,Tom,NOTE: we need to implement bilevel planning models for this (skills already exist),
prbench/Packing3D-p3-v0,Done,Packing3D,Geom3D,Combinatorial geometric constraints,Essential,Need Audit,Tom,,
prbench/Table3D-o3-v0,Done,Table3D,Geom3D,Spatial constraints,Essential,Need Audit,Tom,,
prbench/Transport3D-o2-v0,Done,Transport3D,Geom3D,"Time efficiency, Combinatorial geometric constraints, Tool use",Essential,Done,Tom,https://github.com/Princeton-Robot-Planning-and-Learning/prpl-mono/pull/337,
prbench/BaseMotion3D-v0,Done,BaseMotion3D,Geom3D,Spatial constraints,Essential,Done,Tom,https://github.com/Princeton-Robot-Planning-and-Learning/prpl-mono/pull/338 ,
prbench/TidyBot3D-cupboard-o8-v0,,ConstrainedCupboard3D,Dynamic3D,Combinatorial geometric constraints,Essential,Need Audit,Tom,,
prbench/Shelf3D-o10-v0,Done,Shelf3D,Geom3D,"Spatial constraints, Combinatorial geometric constraints",Essential,In Progress,Vaibhav,,
prbench/TidyBot3D-sort-lab2-o20-sort_the_cluttered_blocks_into_bowls-v0,,SortClutteredBlocks3D,Dynamic3D,Spatial constraints,Essential,Need Audit,Tom,,
prbench/TidyBot3D-rearrange-lab2_kitchen-o2-put_the_boxed_drink_and_the_can_next_to_the_bowl-v0,,Rearrange3D,Dynamic3D,Spatial constraints,Essential,In Progress,Vaibhav,Add obstructions to justify the dynamic-ness and show demo of pushing out of the way. Expected completion: Jan 12,"Update: added all robocasa assets, and updated task to include distractions"
prbench/TidyBot3D-tool_use-lab2_kitchen-o50-sweep_the_blocks_to_the_left_side_of_the_kitchen_island-v0,,SweepSimple3D,Dynamic3D,"Tool use, Nonprehensile multi-object manipulation",Essential,Need Audit,Vaibhav,,"Update: have 3 variants of sweeping, and one variants of fetching bowl from upper shelf using tool"
prbench/tidybot-namo-o1-v0,,Dynamo3D,Dynamic3D,Nonprehensile multi-object manipulation,Essential,Need Audit,Bowen,Expected completion: Jan 18,
prbench/TidyBot3D-dynamic-lab2-o1-toss_the_blocks_into_the_bin-v0,Ready with parameterized skill,Tossing3D,Dynamic3D,Dynamic constraints,Essential,Need Audit,Yixuan / Jimmy,Expected completion: Jan 25,
prbench/TidyBot3D-tool_use-lab2_kitchen-o5-scoop_the_blocks_from_the_yellow_bin_to_the_green_bin-v0,,ScoopPour3D,Dynamic3D,"Dynamic constraints, Tool use, Nonprehensile multi-object manipulation",Essential,Not Started,Vaibhav,Expected completion: Jan 25,
prbench/TidyBot3D-dynamic-lab2-o3-balance_beam-v0,,BalanceBeam3D,Dynamic3D,"Tool use, Dynamic constraints",Should Have,Need Audit,Yichao,Expected completion: Jan 18,
prbench/TidyBot3D-tool_use-lab2_kitchen-o5-sweep_the_blocks_into_the_top_drawer_of_the_kitchen_island-v0,,SweepIntoDrawer3D,Dynamic3D,"Dynamic constraints, Tool use, Nonprehensile multi-object manipulation",Essential,In Progress,Vaibhav,,
